bin_start	bin_end	coding_count	noncoding_count	coding_normalized_per_10000	noncoding_normalized_per_10000
-2000	-1900	8	4663	20.304568527918782	28.519790459356397
-1900	-1800	5	4676	12.690355329949238	28.599300919569053
-1800	-1700	9	4607	22.842639593908633	28.177283861517243
-1700	-1600	9	4747	22.842639593908633	29.033550356115118
-1600	-1500	8	4918	20.304568527918782	30.079418717373954
-1500	-1400	7	4901	17.766497461928935	29.975443500172783
-1400	-1300	10	5026	25.380710659898476	30.739967156063745
-1300	-1200	11	5085	27.918781725888323	31.100822321644277
-1200	-1100	9	5064	22.842639593908633	30.972382347454595
-1100	-1000	10	5139	25.380710659898476	31.431096540989174
-1000	-900	9	5210	22.842639593908633	31.865345977535238
-900	-800	11	5141	27.918781725888323	31.443328919483427
-800	-700	13	5127	32.994923857868024	31.35770227002364
-700	-600	12	5258	30.456852791878173	32.15892306139737
-600	-500	11	5437	27.918781725888323	33.25372093663322
-500	-400	11	5405	27.918781725888323	33.058002880725134
-400	-300	22	5282	55.837563451776646	32.30571160332843
-300	-200	21	4852	53.2994923857868	29.675750227063524
-200	-100	30	5211	76.14213197969544	31.871462166782365
-100	0	68	7601	172.58883248730965	46.48915446741753
0	100	473	8456	1200.507614213198	51.7184962737117
100	200	288	4320	730.9644670050762	26.421937547591597
200	300	263	4005	667.5126903553299	24.495337934746377
300	400	146	4574	370.5583756345178	27.975449616362027
400	500	137	4922	347.7157360406091	30.103883474362465
500	600	102	4860	258.88324873096445	29.724679741040546
600	700	102	4869	258.88324873096445	29.7797254442647
700	800	62	5047	157.36040609137058	30.868407130253424
800	900	43	4954	109.13705583756345	30.29960153027055
900	1000	41	5024	104.06091370558374	30.727734777569484
1000	1100	39	5010	98.98477157360405	30.6421081281097
1100	1200	43	4948	109.13705583756345	30.262904394787785
1200	1300	21	5108	53.2994923857868	31.241494674328212
1300	1400	33	5064	83.75634517766498	30.972382347454595
1400	1500	32	4915	81.21827411167513	30.061070149632567
1500	1600	31	4882	78.68020304568529	29.859235904477355
1600	1700	20	5057	50.76142131979695	30.929569022724703
1700	1800	21	4753	53.2994923857868	29.070247491597886
1800	1900	24	4813	60.91370558375635	29.437218846425548
1900	2000	19	4656	48.22335025380711	28.476977134626498
